"term","sentiment"
"---'-;-{@","67.647059"
"--<--<@","64.705882"
"$:","-44.117647"
"%-)","-44.117647"
"%)","-11.764706"
"&-:","-11.764706"
"&:","-20.588235"
"('-:","64.705882"
"(':","67.647059"
"(-%","-20.588235"
"(-*","38.235294"
"(-:","47.058824"
"(-:{","-2.941176"
"(-:|>*","55.882353"
"(-:<","-11.764706"
"(-:0","82.352941"
"(-:o","44.117647"
"(-:O","44.117647"
"(-;","38.235294"
"(-;|","61.764706"
"( '}{' )","47.058824"
"(%","-26.470588"
"((-:","61.764706"
"(*","32.352941"
"(:","64.705882"
"(:<","-5.882353"
"(:0","70.588235"
"(:o","73.529412"
"(:O","73.529412"
"(;","32.352941"
"(;<","8.823529"
"(?:","61.764706"
"(^:","44.117647"
"(^;","44.117647"
"(^;0","58.823529"
"(^;o","55.882353"
"(=","64.705882"
"(8","76.470588"
"(o:","47.058824"
")':","-58.823529"
")-':","-61.764706"
")-:","-61.764706"
")-:{","-61.764706"
")-:<","-64.705882"
"):","-52.941176"
"):{","-67.647059"
"):<","-55.882353"
");<","-76.470588"
"*-)","8.823529"
"*-:","61.764706"
"*-;","70.588235"
"*)","17.647059"
"*:","55.882353"
"*\0/*","67.647059"
"*^:","47.058824"
"*<|:-)","47.058824"
",-:","35.294118"
".-:","-35.294118"
"..###-:","-50"
"..###:","-55.882353"
"/-:","-38.235294"
"/:","-38.235294"
"/:<","-41.176471"
"/^:","-29.411765"
"/=","-26.470588"
"/o:","-41.176471"
":'-(","-70.588235"
":'-)","79.411765"
":'(","-64.705882"
":')","67.647059"
":-###..","-73.529412"
":-&","-14.705882"
":-(","-44.117647"
":-)","38.235294"
":-))","82.352941"
":-*","50"
":-,","32.352941"
":-.","-26.470588"
":-/","-35.294118"
":-[","-47.058824"
":-\","-26.470588"
":-|","-20.588235"
":-||","-73.529412"
":-<","-44.117647"
":-c","-38.235294"
":-d","67.647059"
":-D","67.647059"
":-o","2.941176"
":-p","35.294118"
":###..","-70.588235"
":$","-5.882353"
